session_id,station_name,start_ts,end_ts,energy_kwh,ghg_savings_kg,port_type,plug_type,fee,ended_by,latitude,longitude,user_id
31,PALO ALTO CA / HAMILTON #2,2011-09-01T12:10:00.000Z,2011-09-01T12:41:00.000Z,1.540426,0.647,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4217
32,PALO ALTO CA / HAMILTON #1,2011-09-02T11:03:00.000Z,2011-09-02T14:12:00.000Z,10.852842,4.558,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4595
33,PALO ALTO CA / HAMILTON #1,2011-09-03T07:44:00.000Z,2011-09-03T14:09:00.000Z,17.778551,7.467,Level 2,J1772,0.0,Customer,37.444572,-122.160309,5354
34,PALO ALTO CA / HAMILTON #1,2011-09-05T18:02:00.000Z,2011-09-05T19:09:00.000Z,3.93153,1.651,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,5826
35,PALO ALTO CA / HAMILTON #1,2011-09-06T13:24:00.000Z,2011-09-06T15:25:00.000Z,1.551318,0.652,Level 1,NEMA 5-20R,0.0,Customer,37.444572,-122.160309,0
36,PALO ALTO CA / HIGH #4,2011-09-08T13:33:00.000Z,2011-09-08T16:06:00.000Z,6.870379,2.886,Level 2,J1772,0.0,Customer,37.443676,-122.16288,3513
37,PALO ALTO CA / HAMILTON #1,2011-09-12T07:15:00.000Z,2011-09-12T10:23:00.000Z,10.912985,4.583,Level 2,J1772,0.0,Customer,37.444572,-122.160309,6020
38,PALO ALTO CA / HAMILTON #1,2011-09-13T17:01:00.000Z,2011-09-13T19:48:00.000Z,14.956504,6.282,Level 2,J1772,0.0,Customer,37.444572,-122.160309,3852
39,PALO ALTO CA / HAMILTON #2,2011-09-14T13:31:00.000Z,2011-09-14T15:19:00.000Z,1.246354,0.523,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4217
40,PALO ALTO CA / HAMILTON #2,2011-09-14T17:08:00.000Z,2011-09-14T17:39:00.000Z,1.757508,0.738,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4705
41,PALO ALTO CA / HAMILTON #2,2011-09-16T09:41:00.000Z,2011-09-16T11:37:00.000Z,6.740498,2.831,Level 2,J1772,0.0,Customer,37.444607,-122.160263,6020
42,PALO ALTO CA / HAMILTON #2,2011-09-18T16:12:00.000Z,2011-09-18T19:17:00.000Z,4.161463,1.748,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2670
43,PALO ALTO CA / HAMILTON #1,2011-09-18T18:05:00.000Z,2011-09-18T20:26:00.000Z,8.220881,3.453,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,5826
44,PALO ALTO CA / HAMILTON #1,2011-09-20T13:47:00.000Z,2011-09-20T17:39:00.000Z,13.367847,5.614,Level 2,J1772,0.0,Customer,37.444572,-122.160309,5717
45,PALO ALTO CA / HAMILTON #2,2011-09-21T07:20:00.000Z,2011-09-21T12:37:00.000Z,16.795704,7.054,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,6020
46,PALO ALTO CA / HAMILTON #1,2011-09-21T15:19:00.000Z,2011-09-21T16:38:00.000Z,1.904665,0.8,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4357
47,PALO ALTO CA / HAMILTON #1,2011-09-23T08:00:00.000Z,2011-09-23T09:36:00.000Z,5.537339,2.326,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4447
48,PALO ALTO CA / HIGH #4,2011-09-23T15:15:00.000Z,2011-09-23T17:04:00.000Z,6.836663,2.871,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,5958
49,PALO ALTO CA / HIGH #4,2011-09-23T17:26:00.000Z,2011-09-24T01:05:00.000Z,6.321515,2.655,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,2670
50,PALO ALTO CA / HAMILTON #2,2011-09-23T23:51:00.000Z,2011-09-24T00:34:00.000Z,2.522456,1.059,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2545
51,PALO ALTO CA / HAMILTON #2,2011-09-25T20:42:00.000Z,2011-09-25T21:25:00.000Z,2.510061,1.054,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4440
52,PALO ALTO CA / HAMILTON #2,2011-09-26T07:15:00.000Z,2011-09-26T12:46:00.000Z,18.218786,7.652,Level 2,J1772,0.0,Customer,37.444607,-122.160263,6020
53,PALO ALTO CA / HAMILTON #1,2011-09-26T11:42:00.000Z,2011-09-26T14:21:00.000Z,4.792016,2.013,Level 2,J1772,0.0,Customer,37.444572,-122.160309,4595
54,PALO ALTO CA / HAMILTON #1,2011-09-26T16:13:00.000Z,2011-09-26T17:13:00.000Z,2.940607,1.235,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4217
55,PALO ALTO CA / HIGH #4,2011-09-26T17:22:00.000Z,2011-09-26T18:03:00.000Z,2.54925,1.071,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,4788
56,PALO ALTO CA / HIGH #4,2011-09-27T18:44:00.000Z,2011-09-27T19:30:00.000Z,2.845571,1.195,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,5587
57,PALO ALTO CA / HAMILTON #1,2011-09-28T15:13:00.000Z,2011-09-28T16:22:00.000Z,2.569886,1.079,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4357
58,PALO ALTO CA / HAMILTON #1,2011-09-28T22:32:00.000Z,2011-09-29T08:10:00.000Z,3.627177,1.523,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,2670
59,PALO ALTO CA / HAMILTON #2,2011-09-29T08:07:00.000Z,2011-09-29T09:06:00.000Z,3.374037,1.417,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,2828
60,PALO ALTO CA / HAMILTON #2,2011-09-29T09:43:00.000Z,2011-09-29T12:29:00.000Z,9.542289,4.008,Level 2,J1772,0.0,Customer,37.444607,-122.160263,6020
61,PALO ALTO CA / HAMILTON #1,2011-09-29T11:17:00.000Z,2011-09-29T14:09:00.000Z,9.77119,4.104,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4714
